 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
80748,198801,1801-2400,STL,MO,,,0,,,VMC,,,Night,,,Tower STL,,Small Transport; Low Wing; 2 Recip Eng,,,,IFR,,,Parked; Landing; Landing; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Local,Air Traffic Control Fully Certified,,,,,,80748,,,,Single Pilot; Pilot Flying,Flight Crew Instrument,,,,,,,ATC Issue All Types; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway,Horizontal 2000; Vertical 0,,Person Air Traffic Control,,General None Reported / Taken,Procedure; Airport,Human Factors,"SMT X LANDED ON RWY 30R. AS HE SLOWED TO TAXI SPD I INSTRUCTED HIM TO TURN RIGHT ONTO TXWY ROMEO; WHICH IS LOCATED SOME 2500' FROM THE APCH END OF THE RWY. HE REPLIED 'ROGER.' MLG Y WAS TAXIED INTO POS AND HOLD ON 30R. I OBSERVED SMT X LNDG LIGHTS TURN TO THE RIGHT AN THEN TO LEFT AS HE TAXIED; INDICATING TO ME HE HAD MADE A LEFT TURN ONTO THE PARALLEL TXWY FOXTROT THAT IS SEPARATED CENTERLINE TO CENTERLINE BY 500'. SMT X MADE NO OTHER XMISSION TO ME INDICATING THAT HE HAD MISSED THE ROMEO TXWY; WHICH INDEED IS WHAT HAPPENED. SMT X CONTINUED DOWN TO THE NEXT TXWY NOVEMBER; LOCATED SOME 2000' DOWNFIELD FROM ROMEO. ON TXWY FOXTROT IN BTWN 'R' AND 'N' TO THE N LIES THE FBO. ON TOP OF THE 3 HANGARS LIES 11 HIGH INTENSITY LIGHTS WHICH CAST A DIFFICULT GLARE ONTO THEIR RAMP AS WELL AS TXWY F AND A SMALL PORTION OF 30R; AT TIMES MAKING VIS DIFFICULT. WITH SMT X TAXIING ON THE RWY IN BTWN 'R' AND 'N'; MLG Y WAS CLRD FOR TKOF. SMT X CLRD THE RWY AS MLG Y ROLLED BTWN 'R' AND 'S' SOME 2000-3000' AWAY.",,,,"CTLR HAD LESS THAN STANDARD SEPARATION BETWEEN TAXIING ACFT ON RWY AND DEPARTING MLG.",
80751,198801,1801-2400,EWR,NJ,,,0,,,IMC,,,Night,,,TRACON N90; Tower EWR,Air Carrier,Widebody; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Landing; Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 100; Flight Crew Total 22000,,,,,80751,,,Air Carrier,First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 10000,,,,,80750,ATC Issue All Types; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,,Human Factors,"WX RPTED 300' OVCST; VIS 1 1/2; DRIZZLE; FOG; HAZE. AFTER BEING CLRD TO LAND; AT 150' A MISSED APCH WAS INITIATED WHEN IT WAS REALIZED AN ACFT WAS ON THE RWY. IN ADDITION; IT WAS NECESSARY TO TAKE EVASIVE ACTION BY TURNING RIGHT AND DEVIATING FROM THE PUBLISHED MISSED APCH PROC TO AVOID COLLIDING WITH THE LGT Y AS IT BECAME AIRBORNE. IT APPEARED THAT APCH CTL WAS GETTING THE ACFT TOO CLOSE TOGETHER AND ALSO WERE NOT AWARE OF A TAILWIND ON FINAL APCH. ALSO; WHEN YOU ARE CLRD TO LAND; THAT YOU ARE CLR. VERY OFTEN TWR CLRS YOU TO LAND IN ANTICIPATION THAT THE ACFT ON THE RWY WILL TKOF.",,,,"WDB MADE GO AROUND DUE TO LGT ON RWY; DEVIATED FROM PUBLISHED MISSED APCH PROC FOR AVOIDANCE OF DEP.",
80754,198801,1201-1800,TFD; SDL,AZ,93,15,,5000,,VMC,,,Daylight,,,Center ZAB; TRACON PHX,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Climb,Direct; Vectors; SID SID,Class E PHX; Class E ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 100; Flight Crew Total 9000; Flight Crew Type 1000,,,,,80754,,,Other Compensated GA,First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 70; Flight Crew Total 9000; Flight Crew Type 950,,,,,80813,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance,Procedure,Ambiguous,"THIS SITUATION BEGAN WHEN WE WERE ISSUED THE FOLLOWING CLRNC FROM SCOTTSDALE GND CTL: ATC CLRS US TO HOU; AFTER DEP FLY A 260 DEG HDG TO INTERCEPT SALT RIVER 325 DEG RADIAL TO THE 36 DME FIX; THEN VECTORS TO TFD 133 DEG RADIAL TO INTERCEPT THE GBN 96 DEG RADIAL TO INTERCEPT THE CIE 278 DEG RADIAL DIR SSO AS FILED. MAINTAIN 5000'; EXPECT 16000' IN 3 MINS; 41000' IN 10 MINS; DEP ON 121.7 SQUAWK 0721. AFTER DEPARTING WE TURNED LEFT TO 260 DEGS; THEN CONTACTED PHX DEP WHO GAVE US VECTORS AND CLB CLRNC. THEN; LATER CLRD US DIR TFD. UPON REACHING TFD WE TURNED IN ERROR TO 93 DEGS OUTBND INSTEAD OF 133 DEGS. APPROX 1 MIN LATER CENTER ASKED US OUR HDG AND WANTED TO KNOW WHY WE WERE NOT ON THE STANDFIELD 1 HIGH DEP; TO WHICH WE REPLIED THAT WE DEPARTED FROM SDL; NOT PHX. AT THAT POINT WE REALIZED WE SHOULD BE ON THE 133 DEG RADIAL; NOT THE 93 DEG RADIAL OF TFD. AS SOON AS WE CORRECTED OUR COURSE ATC TOLD US TO GO DIR SSO AND CLB TO 41000'. TO OUR BEST ESTIMATE; WE AT NO TIME EXCEEDED 4 MI OFF COURSE. I BELIEVE THE CLRNC WE RECEIVED AT SDL WAS ENTIRELY TOO CONFUSING AND TAKES TOO MUCH TIME FOR THE FLT CREW TO FLY W/O THE USE OF AN SID PLATE. I WOULD HIGHLY RECOMMEND THAT IF IT IS NECESSARY TO USE THIS PROC WHEN DEPARTING SDL; THAT ATC HAVE A PUBLISHED SID PROC. SUPPLEMENTAL INFORMATION FROM ACN 80813: I BELIEVE CLRNC FROM SDL VERY COMPLICATED AND UNCALLED FOR. THEY SHOULD HAVE A SID PUBLISHED. I WOULD LIKE TO SEE SOMEBODY FLY THAT AFTER A TOTAL RADIO FAILURE IN IMC.",,,,"CORP JET FLT CREW GOT OFF CLEARED ROUTE DURING COMPLICATED DEP PROC.",
80756,198801,0601-1200,LSV; DRA,NV,,,,14000,,VMC,,,Daylight,,,Military Facility LSV,Government,Medium Transport,,2,,IFR,Passenger,,Cruise; Cruise,,Class E LSV; Special Use A481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military,Fighter,,1,,,,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 130; Flight Crew Total 9120,,,,,80756,,,,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Commercial,,,,,,,ATC Issue All Types; Conflict Airborne Conflict,Horizontal 3000; Vertical 0,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"AT XA55Z WHILE IFR WBOUND AT 14000'; 1 MI E OF LSV; WE OBSERVED AN FGT PASS THROUGH OUR ALT IN A VERT CLB AT 11 O'CLOCK AND APPROX 1/2-3/4 MI. NO TFC INFO WAS GIVEN BY NELLIS APCH CTL. AFTER LNDG AT OUR DEST; DESERT ROCK; NV (DRA); I CONTACTED THE NELLIS ATC SUPVR BY TELEPHONE. HE STATED THAT THE CONFLICT WAS CAUSED BY A CTLR TRNEE AT LSV WHO RELEASED THE FGT FOR A MAX PERFORMANCE TKOF W/O PROPER COORD PROCS (NO TIME FOR EVASIVE ACTION).",,,,"ACR-MDT HAD VERY CLOSE CALL WITH CLIMBING FGT.",
80759,198801,0601-1200,BDF; DTW,IL,97,20,,33000,,VMC,,,Daylight,,,Center ZAU,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Cruise,,Class A ZAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,First Officer,Flight Crew Commercial; Flight Crew Flight Engineer,Flight Crew Last 90 Days 175; Flight Crew Total 3300; Flight Crew Type 450,,,,,80759,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 5000; Flight Crew Type 1500,,,,,80757,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,,,,Aircraft,"WE WERE CRUISING AT FL330; 20 NM EAST OF BDF; WHEN WE NOTICED THE SYS A HYDRAULIC LOW PRESSURE LIGHTS ILLUMINATED. THEN OBSERVED THE SYS A QUANTITY AND PRESSURE GAUGES AT ZERO. WE DSNDED TO FL250 AND RETURNED TO DETROIT (REDISPATCH BY COMPANY DUE TO LOW WX AT MSP) FOR AN UNEVENTFUL APCH AND LNDG. AFTER CLRING RWY; THE GEAR PINS WERE INSTALLED AND WE WERE TOWED TO THE GATE.",,,,"LGT A SYSTEM HYDRAULIC FAILURE WHILE ENROUTE.",
80771,198801,1201-1800,ABE,PA,,7,,2000,,VMC,,,Daylight,,,TRACON ABE,Personal,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,1,,None,Personal,,Descent; Descent; Cruise; Cruise,,Class C ABE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 16; Flight Crew Total 554,,,,,80771,,,,,Air Traffic Control Fully Certified,,,,,,,Conflict Airborne Conflict; Other Airspace Violation Entry or Exit,,,Automation Air Traffic Control; Person Air Traffic Control,,General None Reported / Taken,,Human Factors,"DEPARTED N52; TOOK A NORTHWESTERLY HDG CLBING TO 4500'. MY TRANSPONDER WAS IN MODE C; SQUAWKING 1200. APPROX 2 NM E OF N43 (EASTON ARPT); I TOOK A NORTHERLY HDG TO FLY OVER THE POCONO SKI AREAS; SPECIFICALLY CAMELBACK. CIRCLED THE SKI AREA AT 4500' MSL. THEN; INITIATED A SOUTHWESTERLY HDG TO PROCEED TO READING MUNICIPAL (RDG) ARPT BY PLTAGE. BELIEVING I WAS W OF THE ABE ARSA; I BEGAN A SLOW DES. I THEN REFERENCED MY NOAA ENRTE LOW ALT CHARTS TO DIAL IN ETX VOR; ASSUMING HDG OF APPROX 240 DEGS. I NEXT NOTICED LGT X APCHING AT ABOUT 1 O'CLOCK AND ABOVE ME. I CONTINUED MY DES AND TURNED TO A MORE WESTERLY HDG. I BELIEVE I WAS NOW AT 2000-2500' MSL. THE AIRLINER PASSED FROM RIGHT TO LEFT IN FRONT AND ABOVE ME AT ABOUT 3-5 MI. THERE WAS NO EVASIVE ACTION. I CONTINUED TO DES AND OBSERVED THE AIRLINER FLY EASTERLY AND THEN OBSERVED ABE ARPT AT ABOUT MY 10-11 O'CLOCK POS AND APPROX 10 NM. PASSING OVER THE ETX VOR AT OR UNDER 2000' MSL; I TOOK A HDG OF 234 DEGS AND ATTEMPTED TO CONTACT READING APCH TO LAND FOR A CUP OF COFFEE. READING APCH HAD DIFFICULTY HEARING MY COMS; SO I INITIATED A CRS CLB TO OBTAIN BETTER RECEPTION/XMISSION AT ABOUT 2500' MSL. I WAS THEN ASSIGNED A DISCRETE SQUAWK AND PROCEEDED TO LAND AT RDG. UPON LNDG THE TWR INFORMED ME TO CALL ABE APCH ON THE LANDLINE. THIS I IMMEDIATELY DID. THE SUPVR AT ABE APCH INFORMED ME THAT I WAS IN THEIR ARSA; AND ASKED IF I SAW LGT X. I SAID THAT I DID SEE THE AIRLINER AND THAT I DID NOT REALIZE I HAD ENTERED AND TRANSITED THE ARSA; BELIEVING I WAS W OF IT. HE THEN INFORMED ME THAT HE STOPPED THE DES (DELAYED) UNTIL IT PASSED OVER ME. UPON LNDG RDG I OBTAINED A DISCRETE CODE WHEN AIRBORNE SO THAT I COULD PROPERLY TRANSIT ABE ARSA ON MY RETURN FLT TO N52; AS MY FLT PATH WOULD TAKE ME JUST S OF THE ABE ARSA. I BELIEVE THE SITUATION OCCURRED BECAUSE OF THE FOLLOWING: 1) I WAS FLYING VFR FOR PLEASURE WITH NO SPECIFIC DEST IN MIND UNTIL AIRBORNE FOR AWHILE. 2) I WAS UTILIZING NOAA ENRTE LOW ALT IFR CHARTS WHICH DO NOT OUTLINE ARSA'S AS THEY DO TCA'S. TO PREVENT RECURRENCE: NOAA ENRTE LOW ALT CHARTS SHOULD DEPICT ARSA'S. WHEN FLYING VFR I SHOULD HAVE APPROPRIATE SECTIONAL TO REFERENCE IN ADDITION TO NOAA CHARTS. SHOULD ENHANCE MY DISTANCE JUDGEMENT.",,,,"SMA FLEW THROUGH ARSA WITHOUT CONTACTING CONTROLLING ATC FAC.",
80777,198801,1801-2400,YYZ,ON,,,,17000,,IMC,,,Night,,,Center CYYZ,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Cruise; Cruise,,Class E CYYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,80777,,,,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Returned To Clearance,,Human Factors,"10 1/2 HRS INTO THE CREW DUTY DAY. CLBED OUT IN MODERATE TURBULENCE AND SOLID IFR TO 17000'. LEVELED OFF. RIDE AND THEN RECEIVED A FREQ CHANGE TO TORONTO CENTER. WITH THE EXCHANGE CAME AN ALTIMETER CHANGE WITH AN INCREASE OF ABOUT 150'. AS THE PNF I SET MY ALT AFTER ANNOUNCING THE VALUE TO THE CAPT. HE RESET IT TO THE CORRECT VALUE AND NOTED WE THEN WERE AT 17100' OR THEREABOUTS. ON THE MLG AUTOPLT; AFTER HAVING LEVELED OFF AT A SPECIFIED ALT; TO RECAPTURE THE NEW 17000' AFTER CHANGING THE ALTIMETER; IT IS NECESSARY TO CHANGE THE VALUE IN THE WINDOW TO 16000' OR 18000' TO GET A VERT MOVEMENT GOING. EXACTLY WHAT THE CAPT DID NEXT IS NOT CLEAR. I LOOKED UP AND SAW 19000' IN THE ALT WINDOW; THE ALTIMETER AT 18500' AND CLBING. I IMMEDIATELY ASKED; 'WHAT ALT ARE WE CLRD TO?' THINKING WE MUST HAVE RECEIVED A CLRNC WHILE I WAS GETTING THE IDENT. THE CAPT IMMEDIATELY STARTED A DES. JUST AS WE STARTED DOWN TORONTO CENTER CALLED AND ASKED OUR ALT. I PAUSED A MOMENT AND SAID; 'WE'RE GETTING BOUNCED AROUND PRETTY GOOD (WHICH WE WERE) AND WOULD BE BACK TO 17000 SHORTLY.' 3000' VVI ACHIEVED THIS END QUICKLY.",,,,"ACR MLG CLIMBED 1500' ABOVE CRUISE ALT.",
80789,198801,1201-1800,NGZ,CA,,17,,7000,,VMC,,,Daylight,,,,Military,Fighter,,1,,None,Training,,Descent; Descent,,Class E OAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military,Single Pilot; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,Flight Crew Total 7000,,,,,80789,,,Military,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,Flight Crew Last 90 Days 40; Flight Crew Total 2400; Flight Crew Type 1600,,,,,80812,Conflict Airborne Conflict,Horizontal 2000; Vertical 1000,,Person Flight Crew,,Flight Crew Took Evasive Action,,Ambiguous,"AS A PLT AND LEAD ACFT OF A FLT OF 4 NAVY FGT ACFT; I WAS DSNDING N OF THE SFO TCA TO BRING FLT INTO NAS ALAMEDA; CA. #3 ACFT IN FLT SAW THE TWIN TURBO PROP AND WENT DOWN AND RIGHT TO PROVIDE ADDITIONAL SEP. HE OBSERVED THE TWIN TO GO UP AND RIGHT. CLOSEST POINT OF APCH WAS APPROX 1000+'. LOOK OUT OF MY FLT WAS HAMPERED DUE TO THE LIGHT TWIN COMING FORM THE DIRECTION OF THE SUN. TWIN WAS OBSERVED EARLY ENOUGH THAT A RADICAL MANEUVER WAS NOT REQUIRED. TWIN WAS NEVER A THREAT TO THE LEAD 'SECTION' (2 ACFT) OF THE 4 ACFT FLT. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING: LEAD PLT STARTED TO CHANGE XPONDER CODE TO VFR; TURNED EQUIP OFF; WAS DISTRACTED AND DID NOT TURN IT ON AGAIN. LEAD ACFT IN FORMATION FLT ONLY 1 TO USE XPONDER TO AVOID CONFUSION. INCIDENT MIGHT HAVE BEEN AVOIDED IF XPONDER IN USE.",,,,"MIL FLT OF 4 AVOIDING TCA USED EVASIVE MANEUVERS TO AVOID SMT.",
80799,198801,1201-1800,EMT,CA,,,,2000,,Marginal,3,,Dusk,,,TRACON ONT; Tower EMT,Personal,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,None,Personal,,Cruise; Cruise,,Class D EMT; Class G EMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 25; Flight Crew Total 460; Flight Crew Type 200,,,,,80799,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"ON FRIDAY JANUARY; I WAS FLYING AFTER SUNSET; NAV LIGHTS DID NOT FUNCTION. I CONTACTED EL MONTE TWR FOR LNDG. EL MONTE BEACON WAS OUT AND I COULD NOT LOCATE THE ARPT. EL MONTE TWR REQUESTED I CONTACT ONT APCH FOR RADAR VECTORING. AFTER REPEATED ATTEMPTS TO CONTACT ONT APCH; WITHOUT SUCCESS; I ELECTED TO PROCEED TO THE NEAREST UNCTLED ARPT (WHITEMAN) AND LAND. I THEN CONTACTED EL MONTE TWR BY TELEPHONE AND EXPLAINED THE SITUATION.",,,,"GA SMA PLT COULD NOT LOCATE ARPT OF INTENDED LNDG AND ELECTED TO CONTINUE TO NEAREST UNCONTROLLED ARPT. SUNSET OCCURRED WHILE ENROUTE AND ACFT NAVIGATIONAL LIGHTS WOULD NOT COME ON.",
80811,198801,1801-2400,SEA; RNT,WA,7,12,,3200,,VMC,15,,Night,,,TRACON SEA,Personal,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,2,,None,Personal,,Climb,,Class B SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 100; Flight Crew Total 300; Flight Crew Type 50,,,,,80811,,,,Pilot Flying; Passenger,,,,,,,,Deviation / Discrepancy - Procedural FAR; Other Airspace Violation Entry or Exit,,,Person Flight Crew,,Flight Crew Exited Penetrated Airspace,,Human Factors,"PIC FAILED TO PAY ATTN AS PAX FLEW INTO BOTTOM OF TCA ON INITIAL CLB OUT OF RENTON ARPT. PIC DAYDREAMING AND LOOKING AT VIEW. NO LIGHT IN ALTIMETER ON PANEL. PIC SUDDENLY REALIZED PLANE WAS STILL CLBING AND SUSPECTED TCA INCURSION; TUNED VOR TO SEA 116.8 AND DETERMINED ACFT WAS ON 007 RADIAL AT 3200 MSL. BY THE TIME INCURSION WAS CONFIRMED THE ACFT HAD EXITED THE TCA. WE THEN TURNED E TO AVOID FURTHER INCURSION. PIC GOT VERY NERVOUS ABOUT TCA INCURSION AND BEING WORRIED ABOUT POSSIBLE CERTIFICATE ACTION; TURNED OFF MODE C HOPING THAT ATC WOULD NOT NOTICE THE INCURSION. THIS WAS SIMPLY BAD JUDGEMENT. THE PIC ALSO DECIDED TO FLY AMONGST THE HILLS HOPING TO LOST ATC IF ATC WAS AWARE OF THE INCURSION; MORE BAD JUDGEMENT. THE ALTIMETER IN THE ACFT WAS UNLIGHTED AND UNCERTIFIED AS THE ACFT'S REGULAR ALTIMETER WAS BEING SERVICED. THE ALTIMETER INSTALLED IN THE ACFT WAS A LONER AND BEING UNLIGHTED WAS NOT EASY TO SEE IN THE DARK COCKPIT. THE PIC SHOULD HAVE CHKED ALL OF THIS BEFORE THE FLT RATHER THAN AFTER THE FLT. TECHNICALLY; THE ACFT WAS PROBABLY NOT AIRWORTHY DUE TO NONCERTIFICATION OF THE ALTIMETER. THE FLT SHOULD HAVE BEEN MADE IN AN AIRWORTHY CRAFT OR POSTPONED. THE PIC IS A CFI WORKING TOWARDS A CAREER IN COMMERCIAL AVIATION. THE SPECTER OF POSSIBLE SUSPENSION OR REVOCATION OF LICENSE DUE TO THE TCA INCURSION WAS FEARSOME. PIC WAS VERY NERVOUS ABOUT THE REPUTED 'MANDATORY' 60 DAY SUSPENSION OF LICENSE. HAD THE SUSPENSION NOT BEEN 'MANDATORY' THE PIC WOULD HAVE CALLED ATC; RPTED POSITION AND EXITED TCA ACCORDING TO ATC INSTRUCTIONS (HAD HE STILL BEEN IT IT).",,,,"SMA ENTERED SEA TCA.",
80814,198801,0001-0600,ATL,GA,,,0,,,VMC,,,Night,,,,Air Taxi,Light Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Cargo / Freight / Delivery,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Taxi,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 9900; Flight Crew Type 2600,,,,,80814,,,,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,,Other Unspecified,,,Person Other Person,,General None Reported / Taken,,Human Factors,"HAVING BEEN PARKED NEXT TO THE FBO'S FRONT DOORS AT ATL HARTSFIELD ARPT; I STARTED MY TAXI TO THE ACTIVE RWY. THERE WAS AN LTT JET PARKED TO MY RIGHT. I PULLED MY PLANE FORWARD AND MADE A 90 DEG RIGHT TURN TO EXIT THE FACILITY. THAT PUT MY ENGINES FACING THE DOORS OF THE FBO. I ADDED POWER TO TAXI AND THE THRUST BLEW THE FRONT DOORS OFF THE BUILDING. GND PERSONNEL AT THE FBO SHOULD NOT PARK ACFT SO CLOSE TO THEIR BUILDINGS.",,,,"TAXIING LTT BLEW DOORS OFF BUILDING.",
80826,198801,1201-1800,IAH,TX,,,0,,,VMC,,,Daylight,,,,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 250; Flight Crew Total 11000,,,,,80828,,,Air Carrier,First Officer,Flight Crew Flight Engineer; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 180; Flight Crew Total 6000; Flight Crew Type 700,,,,,80535,Aircraft Equipment Problem Less Severe; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Aircraft,"WHILE LNDG AT IAH ARPT ON RWY 8; AFT GALLEY CART CAME THROUGH COCKPIT DOOR WHEN BRAKES AND ENGINE THRUST WERE APPLIED A/C CONTINUED NORMAL LNDG ROLL AND CLRD RWY. APPROPRIATE CHECKLISTS WERE COMPLETED AND MAINT NOTIFIED. NO INJURIES TO DEAD HEADING CABIN CREW MEMBERS NOR TO THREE COCKPIT MEMBERS FLYING. LOGBOOK ENTRY MADE ACCORDINGLY. AFTER BLOCKING IN AT GATE AND REVIEWING DAMAGE DONE TO A/C; TALKING WITH DEAD HEADING CABIN CREW MEMBERS; AND MAINT PERSONNEL WHO HAD JUST BOARDED A/C; IT SEEMS AFT GALLEY CART ROLLED OUT OF ITS STOWED POSITION AND DURING A SERIES OF LEFT TURNS FOLLOWED BY LEVEL FLT WAS ABLE TO POSITION ITSELF WHEREIN IT WAS DIRECTLY IN LINE TO ROLL DOWN THE ISLE WITHOUT HITTING ANY SEAT TO HINDER ITS FORWARD PROGRESS. FURTHER REVIEW CONFIRMED THAT THERE WERE NO SEATS DAMAGED IN ANY MANNER! A VISUAL CHECK HAD BEEN MADE PRIOR TO DESCENT AND NO GALLEY CART WAS SEEN OUT IN THE ISLE. AS THIS WAS A FERRY FLT FOR MAINT; THE DEAD HEADING CABIN CREW HAD BEEN SEATED IN FIRST CLASS AND WERE IN THEIR SEATS FROM APPROX 10000' DOWN TO LNDG.",,,,"INFLT CABIN SERVICE MODULE CAME LOOSE AND CRASHED THROUGH COCKPIT DOOR ON LNDG DECELERATION.",
